"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instromers_4","Instromers_5","Uitstromers_6","Uitstromers_7","UitstromersNaarWerk_8","UitstromersNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkendenNaReIntegratie_11","WerkendenNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"0","20150","NL01  ","14188300","  496600","    35.0","  155440","    24.5","  140070","    22.0","   59780","    10.5","  165440","   43480","    17.0","  126710","    28.0","    76.5","   96370","     7.0"
"1","20150","LD01  "," 1445540","   55770","    38.5","   19100","    26.0","   16870","    23.0","    8340","    11.5","   23550","    6290","    18.5","   18860","    35.5","    80.0","   14560","    10.0"
"2","20150","LD02  "," 2964440","   91660","    31.0","   29940","    25.5","   25700","    22.0","   11930","    11.0","   35090","    9340","    18.5","   27420","    32.5","    78.0","   21890","     7.5"
"3","20150","LD03  "," 6711040","  260210","    39.0","   75610","    23.0","   66290","    20.0","   28750","    10.0","   77680","   20330","    16.0","   58000","    25.0","    74.5","   30840","     4.5"
"4","20150","LD04  "," 3067270","   88480","    29.0","   28400","    25.0","   23940","    21.0","   10760","    10.5","   29120","    7520","    18.0","   22420","    27.5","    77.0","   28860","     9.5"
"5","20150","PV20  ","  498550","   22780","    45.5","    7750","    25.5","    6870","    23.0","    3440","    12.0","    9660","    2440","    17.5","    7980","    36.5","    82.5","    5900","    12.0"
"6","20150","PV21  ","  537510","   20230","    37.5","    6780","    26.0","    5830","    22.0","    2830","    11.0","    6980","    1920","    18.0","    5610","    29.0","    80.5","    4390","     8.0"
"7","20150","PV22  ","  409480","   12760","    31.0","    4560","    26.5","    4180","    24.5","    2070","    12.5","    6910","    1920","    21.0","    5280","    43.5","    76.5","    4270","    10.5"
"8","20150","PV23  ","  942690","   31260","    33.0","    9990","    25.0","    8670","    21.5","    4060","    11.0","   11040","    3070","    18.0","    8940","    31.5","    81.0","    7900","     8.5"
"9","20150","PV24  ","  324140","   11950","    37.0","    4280","    27.0","    3710","    23.0","    1760","    12.0","    4360","    1380","    20.0","    3460","    32.0","    79.5","    1300","     4.0"
"10","20150","PV25  "," 1697620","   48440","    28.5","   15670","    25.5","   13320","    21.5","    6110","    10.5","   19680","    4900","    18.5","   15030","    33.5","    76.5","   12700","     7.5"
"11","20150","PV26  "," 1045470","   29330","    28.0","    9410","    25.0","    7970","    21.5","    3330","    10.0","    8160","    2460","    19.5","    6350","    24.0","    78.0","    4140","     4.0"
"12","20150","PV27  "," 2331730","   87690","    37.5","   23870","    21.5","   22000","    20.0","    9620","    10.0","   30440","    6450","    16.5","   20130","    26.0","    66.0","    9990","     4.5"
"13","20150","PV28  "," 3012920","  134770","    44.5","   39500","    23.0","   34100","    20.0","   14710","     9.5","   35960","   10660","    15.0","   29110","    24.5","    81.0","   14260","     4.5"
"14","20150","PV29  ","  320930","    8410","    26.0","    2830","    26.5","    2220","    21.0","    1100","    11.0","    3130","     760","    15.5","    2410","    31.0","    77.0","    2460","     7.5"
"15","20150","PV30  "," 2101950","   56100","    26.5","   18420","    25.5","   15310","    21.5","    6930","    10.5","   17780","    4830","    17.5","   13960","    27.5","    78.5","   18240","     8.5"
"16","20150","PV31  ","  965330","   32380","    33.5","    9980","    24.0","    8630","    21.0","    3830","    10.0","   11340","    2680","    18.5","    8460","    28.5","    74.5","   10620","    11.0"
"17","20150","CR01  ","  126510","    5220","    41.5","    2060","    29.0","    1650","    23.0","     780","    11.5","    3500","     860","    18.5","    2920","    58.0","    83.5","    2800","    22.0"
"18","20150","CR02  ","   40110","    1860","    46.5","     660","    26.5","     570","    23.0","     280","    12.0","     450","     160","    13.0","     420","    23.5","    91.5","     480","    12.0"
"19","20150","CR03  ","  331930","   15700","    47.5","    5030","    24.5","    4650","    22.5","    2380","    12.0","    5710","    1430","    18.0","    4640","    31.0","    81.5","    2630","     8.0"
"20","20150","CR04  ","  270130","   11160","    41.5","    3660","    25.5","    3190","    22.0","    1460","    10.5","    3380","     900","    15.5","    2730","    25.5","    81.0","    2240","     8.5"
"21","20150","CR05  ","  111920","    3600","    32.0","    1200","    26.0","     930","    20.5","     500","    11.0","    1600","     300","    16.0","    1260","    36.0","    78.5","     720","     6.5"
"22","20150","CR06  ","  155460","    5470","    35.0","    1920","    26.5","    1700","    23.5","     870","    12.5","    2010","     730","    25.5","    1620","    30.5","    80.5","    1430","     9.0"
"23","20150","CR07  ","  158370","    4280","    27.0","    1830","    30.5","    1610","    27.0","     830","    14.5","    1670","     570","    21.5","    1180","    29.0","    71.0","    1310","     8.5"
"24","20150","CR08  ","  142470","    5680","    40.0","    1690","    23.0","    1620","    22.0","     770","    11.0","    2740","     770","    22.0","    2020","    37.0","    73.5","    1670","    11.5"
"25","20150","CR09  ","  108640","    2810","    26.0","    1050","    27.5","     950","    25.0","     470","    13.0","    2500","     590","    19.0","    2080","    78.5","    83.5","    1290","    12.0"
