"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instroom_4","Instroom_5","Uitstroom_6","Uitstroom_7","UitstroomNaarWerk_8","UitstroomNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkNaReIntegratie_11","WerkNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandsontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"0","20150","NL01   ","14422560","  508480","    35.5","  123060","    19.5","  128560","    20.0","   60890","    10.5","  190360","       .","       .","  137650","    30.0","    72.5","   86980","     6.0"
"1","20150","LD01   "," 1456560","   56980","    39.0","   15730","    21.5","   15220","    20.5","    8050","    11.5","   25860","       .","       .","   19740","    36.5","    76.5","   13280","     9.0"
"2","20150","LD02   "," 3016270","   95530","    31.5","   23920","    20.0","   23910","    20.0","   11860","    10.5","   36250","       .","       .","   26350","    30.5","    72.5","   19610","     6.5"
"3","20150","LD03   "," 6841800","  266060","    39.0","   60150","    18.5","   60420","    18.5","   29570","    10.0","   96050","       .","       .","   70210","    30.0","    73.0","   27900","     4.0"
"4","20150","LD04   "," 3107930","   89620","    29.0","   21670","    19.5","   22730","    20.5","   11260","    11.0","   30360","       .","       .","   21310","    26.0","    70.0","   26010","     8.5"
"5","20150","PV20   ","  499790","   23380","    47.0","    6240","    21.0","    6030","    20.5","    3200","    11.0","   10760","       .","       .","    8520","    38.5","    79.0","    5350","    10.5"
"6","20150","PV21   ","  541870","   20650","    38.0","    5470","    20.5","    5670","    21.5","    2910","    11.5","    7240","       .","       .","    5270","    26.5","    73.0","    4040","     7.5"
"7","20150","PV22   ","  414890","   12960","    31.0","    4020","    23.5","    3520","    20.5","    1950","    12.0","    7860","       .","       .","    5960","    48.5","    76.0","    3890","     9.5"
"8","20150","PV23   ","  955140","   32260","    34.0","    7940","    19.5","    7950","    19.5","    3930","    10.5","   13610","       .","       .","   10350","    35.5","    76.0","    7120","     7.5"
"9","20150","PV24   ","  332830","   12170","    36.5","    3270","    21.0","    3170","    20.5","    1660","    11.5","    5260","       .","       .","    3840","    35.0","    73.0","    1190","     3.5"
"10","20150","PV25   "," 1728310","   51100","    29.5","   12720","    20.0","   12790","    20.0","    6270","    10.5","   17380","       .","       .","   12160","    26.0","    70.0","   11290","     6.5"
