"ID","Perioden","TotaalArbeidsongeschiktheidsuitkeringen_1","WAOUitkeringen_2","WajongUitkeringen_3","WAZUitkeringen_4","TotaalWIAUitkeringen_5","IVAUitkeringen_6","WGAUitkeringen_7","NietSeizoengecorrigeerd_8","Seizoengecorrigeerd_9","IOWUitkeringen_10","TotaalBijstandsuitkeringen_11","BijstandsuitkeringenTotDeAOWLeeftijd_12","BijstandsuitkeringenVanafAOWLeeftijd_13","IOAWUitkeringen_14","IOAZUitkeringen_15","AOWUitkeringen_16","AnwUitkeringen_17","AKWUitkeringen_18"
"0","1998MM01","   884.4","   714.0","   113.5","    56.9","","","","   350.8","   329.6","","   449.0","   435.1","    14.0","    19.2","     4.1","","",""
"1","1998MM02","   885.3","   714.3","   113.7","    57.3","","","","   355.0","   327.2","","   446.1","   432.2","    13.9","    19.2","     4.1","","",""
"2","1998MM03","   888.2","   716.5","   114.1","    57.6","","","","   342.8","   326.3","","   439.9","   426.0","    13.9","    19.1","     4.0","  2253.7","   184.4","  1815.0"
"3","1998MM04","   890.0","   717.9","   114.5","    57.7","","","","   318.6","   315.4","","   436.0","   421.9","    14.0","    19.1","     4.0","","",""
"4","1998MM05","   890.8","   718.1","   115.0","    57.7","","","","   303.9","   308.6","","   431.8","   417.6","    14.2","    19.2","     4.0","","",""
"5","1998MM06","   892.6","   719.3","   115.4","    57.8","","","","   293.5","   302.6","","   426.7","   412.5","    14.1","    19.3","     4.0","  2259.2","   182.7","  1817.0"
"6","1998MM07","   893.4","   719.4","   116.0","    58.0","","","","   286.8","   295.6","","   425.9","   411.5","    14.4","    19.5","     4.0","","",""
"7","1998MM08","   894.1","   720.0","   116.1","    58.0","","","","   283.7","   291.5","","   422.3","   407.8","    14.5","    19.7","     4.0","","",""
"8","1998MM09","   895.2","   721.4","   116.0","    57.8","","","","   276.2","   288.1","","   419.5","   405.0","    14.5","    19.7","     4.0","  2269.6","   180.9","  1819.2"
"9","1998MM10","   897.4","   723.5","   116.1","    57.7","","","","   268.7","   281.1","","   416.8","   401.8","    14.9","    19.8","     4.0","","",""
"10","1998MM11","   900.5","   726.2","   116.6","    57.7","","","","   276.0","   282.4","","   414.3","   399.1","    15.1","    19.8","     3.9","","",""
"11","1998MM12","   906.8","   728.7","   119.4","    58.8","","","","   287.0","   284.9","","   412.3","   397.1","    15.2","    19.9","     4.0","  2276.4","   180.1","  1811.2"
"12","1998JJ00","   892.5","   719.4","   115.3","    57.7","","","","   305.6","       .","","       .","   415.7","       .","    19.4","     4.0","  2261.1","   182.8","  1815.6"
"13","1999MM01","   905.7","   728.6","   119.8","    57.3","","","","   291.5","   274.2","","   410.3","   395.0","    15.4","    20.7","     4.0","","",""
"14","1999MM02","   908.7","   731.0","   120.5","    57.3","","","","   287.5","   265.7","","   407.7","   392.2","    15.5","    20.8","     4.0","","",""
"15","1999MM03","   910.0","   733.1","   119.4","    57.4","","","","   272.3","   259.7","","   405.1","   389.6","    15.5","    20.9","     3.9","  2280.0","   178.5","  1821.3"
"16","1999MM04","   911.3","   734.4","   119.6","    57.3","","","","   256.6","   253.7","","   401.5","   385.9","    15.7","    20.9","     4.0","","",""
"17","1999MM05","   912.2","   735.8","   120.0","    56.4","","","","   246.2","   249.5","","   398.2","   382.4","    15.8","    21.0","     3.9","","",""
"18","1999MM06","   915.0","   737.5","   120.5","    57.0","","","","   237.3","   244.6","","   393.2","   377.5","    15.8","    21.1","     3.9","  2287.5","   177.1","  1827.1"
"19","1999MM07","   917.4","   738.4","   121.8","    57.1","","","","   235.9","   243.0","","   392.4","   376.3","    16.1","    21.2","     3.9","","",""
"20","1999MM08","   918.7","   739.6","   122.3","    56.9","","","","   232.8","   239.2","","   389.5","   373.3","    16.2","    21.3","     3.9","","",""
"21","1999MM09","   920.1","   740.9","   122.5","    56.7","","","","   226.1","   235.7","","   386.6","   370.3","    16.3","    21.4","     3.8","  2296.8","   175.6","  1833.9"
"22","1999MM10","   922.4","   742.9","   122.8","    56.7","","","","   221.1","   231.1","","   384.6","   367.5","    17.1","    21.4","     3.8","","",""
