"ID";"Leeftijd";"Regiokenmerken";"Inwoners_1";"Bijstandontvangers_2";"Bijstandsdichtheid_3";"Instroom_4";"Instroom_5";"Uitstroom_6";"Uitstroom_7";"UitstroomNaarWerk_8";"UitstroomNaarWerk_9";"PersonenMetReIntegratievoorziening_10";"WerkNaReIntegratie_11";"WerkNaReIntegratie_12";"PersonenMetBijstandEnReIntegratie_13";"BijstandontvangersMetReIntegratie_14";"ReIntegratieontvangersMetBijstand_15";"WSWWerknemers_16";"WSWDichtheid_17"
"0";"20150";"NL01   ";"14303940";"  513980";"    36.0";"  148130";"    23.0";"  130750";"    20.5";"   60120";"    10.0";"  173940";"   47280";"    16.5";"  128970";"    28.0";"    74.0";"   91450";"     6.5"
"1";"20150";"LD01   ";" 1452070";"   57800";"    40.0";"   18660";"    25.0";"   15470";"    21.0";"    7920";"    11.0";"   24340";"    6520";"    17.5";"   19370";"    35.0";"    79.5";"   13860";"     9.5"
"2";"20150";"LD02   ";" 2990270";"   96260";"    32.0";"   29150";"    24.0";"   23770";"    19.5";"   11680";"    10.5";"   34950";"    9490";"    17.0";"   26540";"    30.0";"    76.0";"   20780";"     7.0"
"3";"20150";"LD03   ";" 6774760";"  268300";"    39.5";"   71690";"    21.5";"   61690";"    18.5";"   29190";"    10.0";"   84020";"   22770";"    16.0";"   61730";"    26.0";"    73.5";"   29240";"     4.5"
"4";"20150";"LD04   ";" 3086840";"   91270";"    29.5";"   26890";"    23.5";"   23310";"    20.0";"   11180";"    10.5";"   28690";"    8390";"    17.5";"   21280";"    25.5";"    74.0";"   27370";"     9.0"
"5";"20150";"PV20   ";"  499160";"   23510";"    47.0";"    7370";"    24.5";"    6210";"    20.5";"    3140";"    11.0";"   10030";"    2460";"    16.5";"    8160";"    36.5";"    81.5";"    5570";"    11.0"
"6";"20150";"PV21   ";"  539870";"   21160";"    39.0";"    6660";"    25.0";"    5500";"    20.5";"    2780";"    10.5";"    7260";"    2030";"    18.5";"    5680";"    28.0";"    78.5";"    4220";"     8.0"
"7";"20150";"PV22   ";"  413050";"   13130";"    32.0";"    4630";"    26.5";"    3750";"    21.5";"    2010";"    12.0";"    7050";"    2030";"    18.0";"    5530";"    44.5";"    78.5";"    4070";"    10.0"
"8";"20150";"PV23   ";"  948540";"   32410";"    34.0";"    9450";"    23.0";"    8050";"    20.0";"    4000";"    10.5";"   12390";"    3300";"    18.0";"    9660";"    33.0";"    78.0";"    7500";"     8.0"
"9";"20150";"PV24   ";"  328520";"   12340";"    37.5";"    3990";"    25.0";"    3270";"    20.5";"    1640";"    11.0";"    4800";"    1410";"    18.5";"    3640";"    32.5";"    76.0";"    1240";"     4.0"
"10";"20150";"PV25   ";" 1713220";"   51510";"    30.0";"   15710";"    24.5";"   12450";"    19.5";"    6040";"    10.0";"   17760";"    4780";"    16.5";"   13240";"    28.0";"    74.5";"   12030";"     7.0"
"11";"20150";"PV26   ";" 1056730";"   30560";"    29.0";"    8820";"    23.0";"    7450";"    19.5";"    3510";"    10.0";"    8820";"    2620";"    17.5";"    6630";"    24.0";"    75.0";"    3930";"     3.5"
"12";"20150";"PV27   ";" 2356270";"   90180";"    38.5";"   23410";"    21.0";"   20090";"    18.0";"    9570";"     9.5";"   32970";"    7970";"    15.5";"   22560";"    28.5";"    68.5";"    9430";"     4.0"
"13";"20150";"PV28   ";" 3039800";"  138760";"    45.5";"   36640";"    21.5";"   31860";"    18.5";"   14960";"     9.5";"   39030";"   11270";"    16.5";"   30120";"    24.5";"    77.0";"   13570";"     4.5"
"14";"20150";"PV29   ";"  321960";"    8800";"    27.5";"    2820";"    25.0";"    2290";"    20.5";"    1150";"    11.0";"    3210";"     910";"    20.0";"    2440";"    30.0";"    76.0";"    2310";"     7.0"
"15";"20150";"PV30   ";" 2118290";"   58310";"    27.5";"   17520";"    24.0";"   14890";"    20.0";"    7200";"    10.5";"   16720";"    5450";"    18.0";"   12230";"    23.0";"    73.0";"   17280";"     8.0"
"16";"20150";"PV31   ";"  968560";"   32960";"    34.0";"    9380";"    22.5";"    8420";"    20.0";"    3980";"    10.0";"   11970";"    2940";"    17.0";"    9050";"    30.0";"    75.5";"   10080";"    10.5"
"17";"20150";"CR01   ";"  125740";"    5470";"    43.5";"    1970";"    27.5";"    1510";"    21.0";"     710";"    10.0";"    3630";"     810";"    15.5";"    3030";"    57.5";"    83.5";"    2650";"    21.0"
"18";"20150";"CR02   ";"   39860";"    1890";"    47.5";"     660";"    26.0";"     560";"    22.0";"     270";"    11.0";"     460";"     130";"    14.5";"     400";"    22.5";"    86.5";"     450";"    11.5"
"19";"20150";"CR03   ";"  333560";"   16150";"    48.5";"    4750";"    23.0";"    4150";"    20.5";"    2160";"    11.0";"    5930";"    1510";"    17.0";"    4730";"    30.5";"    80.0";"    2470";"     7.5"
"20";"20150";"CR04   ";"  271060";"   11760";"    43.5";"    3600";"    24.5";"    2890";"    19.5";"    1400";"    10.0";"    3600";"     900";"    16.0";"    2840";"    25.0";"    79.0";"    2150";"     8.0"
"21";"20150";"CR05   ";"  112690";"    3680";"    32.5";"    1110";"    23.5";"     980";"    20.5";"     520";"    11.5";"    1530";"     370";"    16.5";"    1190";"    33.5";"    78.0";"     700";"     6.0"
