"ID";"KenmerkenBaanWerknemerBedrijf";"BedrijfstakkenBranchesSBI2008";"Perioden";"Banen_1";"Arbeidsvolume_2";"Uurloon_3";"MaandloonInclusiefOverwerk_4";"MaandloonExclusiefOverwerk_5";"JaarloonInclusiefBijzondereBeloning_6";"JaarloonExclusiefBijzondereBeloning_7";"BijzondereBeloning_8";"BijtellingAutoVanDeZaak_9";"PerBaanPerWeekInclusiefOverwerk_10";"PerBaanPerWeekExclusiefOverwerk_11";"PerBaanPerJaar_12";"PerArbeidsjaar_13"
"0";"T009002";"T001081";"2009JJ00";"    7820";"    5925";"20.02";"2225";"2195";"30650";"26710";"3940";"510";"29.1";"28.8";"1315";"1736"
"1";"T009002";"T001081";"2010X000";"    7774";"    5870";"20.39";"2245";"2214";"30960";"26940";"4020";"490";"29.0";"28.6";"1303";"1725"
"2";"T009002";"T001081";"2010JJ00";"    7860";"    5924";"20.41";"2245";"2214";"30990";"26940";"4050";"500";"28.9";"28.5";"1301";"1727"
"3";"T009002";"T001081";"2011JJ00";"    7926";"    5926";"20.62";"2266";"2234";"31340";"27200";"4140";"470";"28.7";"28.3";"1300";"1739"
"4";"T009002";"T001081";"2012JJ00";"    7872";"    5868";"21.16";"2302";"2271";"31740";"27630";"4120";"480";"28.6";"28.3";"1288";"1728"
"5";"T009002";"T001081";"2013JJ00";"    7746";"    5773";"21.48";"2337";"2306";"32430";"28050";"4380";"460";"28.8";"28.4";"1288";"1729"
"6";"T009002";"T001081";"2014JJ00";"    7706";"    5740";"21.58";"2359";"2328";"32590";"28310";"4270";"430";"28.8";"28.4";"1294";"1738"
"7";"T009002";"T001081";"2015JJ00";"    7783";"    5794";"22.08";"2405";"2373";"33200";"28860";"4340";"390";"28.8";"28.4";"1290";"1732"
"8";"T009002";"T001081";"2016JJ00";"    7893";"    5902";"22.13";"2436";"2404";"33730";"29230";"4500";"390";"29.0";"28.6";"1303";"1743"
"9";"T009002";"T001081";"2017JJ00";"    8096";"    6045";"22.23";"2460";"2427";"34090";"29520";"4570";"400";"29.0";"28.7";"1310";"1754"
"10";"T009002";"300035 ";"2009JJ00";"    1351";"    1197";"20.07";"2695";"2640";"36640";"32340";"4290";"700";"35.1";"34.5";"1579";"1783"
"11";"T009002";"300035 ";"2010X000";"    1308";"    1161";"20.44";"2744";"2685";"37210";"32920";"4290";"720";"35.1";"34.5";"1576";"1776"
"12";"T009002";"300035 ";"2010JJ00";"    1322";"    1170";"20.45";"2739";"2680";"37180";"32860";"4320";"730";"35.1";"34.4";"1573";"1778"
"13";"T009002";"300035 ";"2011JJ00";"    1313";"    1157";"20.78";"2796";"2733";"38010";"33550";"4470";"710";"34.9";"34.3";"1578";"1790"
"14";"T009002";"300035 ";"2012JJ00";"    1290";"    1137";"21.35";"2850";"2788";"38720";"34200";"4510";"730";"35.0";"34.3";"1567";"1778"
"15";"T009002";"300035 ";"2013JJ00";"    1243";"    1097";"21.60";"2904";"2838";"39810";"34850";"4960";"720";"35.4";"34.6";"1577";"1787"
