"ID";"Perioden";"Overheidsinkomsten_1";"Overheidsuitgaven_2";"Overheidssaldo_3";"OverheidsschuldEMU_4";"CollectieveLasten_5";"Overheidsconsumptie_6";"OverheidsinkomstenSeizoengecorrigeerd_7";"OverheidsuitgavenSeizoengecorrigeerd_8";"OverheidssaldoSeizoengecorrigeerd_9";"NettoBesparingen_10";"SaldoNettoBespEnKapitaaloverdr_11";"Aardgasbaten_12";"Overheidsinkomsten_13";"Overheidsuitgaven_14";"Overheidssaldo_15";"OverheidsschuldEMU_16";"CollectieveLasten_17";"Overheidsconsumptie_18";"OverheidsinkomstenSeizoengecorrigeerd_19";"OverheidsuitgavenSeizoengecorrigeerd_20";"OverheidssaldoSeizoengecorrigeerd_21";"NettoBesparingen_22";"SaldoNettoBespEnKapitaaloverdr_23";"Aardgasbaten_24";"WerkzamePersonen_25";"Arbeidsjaren_26";"GewerkteUren_27"
"0";"1995JJ00";"  148261";"  177036";"  -28775";"  240962";"  121137";"   73904";"";"";"";"  -10511";"  -27723";"       .";"    45.0";"    53.7";"    -8.7";"    73.1";"    36.8";"    22.4";"";"";"";"    -3.2";"    -8.4";"       .";"     997";"     909";"    1466"
"1";"1996JJ00";"  155586";"  161868";"   -6282";"  245950";"  127158";"   73662";"";"";"";"   -4869";"   -5551";"       .";"    45.1";"    47.0";"    -1.8";"    71.4";"    36.9";"    21.4";"";"";"";"    -1.4";"    -1.6";"       .";"     991";"     905";"    1464"
"2";"1997JJ00";"  161998";"  167839";"   -5841";"  242791";"  133619";"   77467";"";"";"";"   -3141";"   -4702";"       .";"    43.9";"    45.5";"    -1.6";"    65.8";"    36.2";"    21.0";"";"";"";"    -0.9";"    -1.3";"       .";"    1001";"     912";"    1469"
"3";"1998JJ00";"  169461";"  174799";"   -5338";"  247173";"  140982";"   82122";"";"";"";"   -2175";"   -4205";"       .";"    43.0";"    44.3";"    -1.4";"    62.7";"    35.8";"    20.8";"";"";"";"    -0.6";"    -1.1";"       .";"    1016";"     936";"    1484"
"4";"1999KW01";"   43886";"   43906";"     -20";"       .";"   36478";"   20393";"   45840";"   44754";"    1086";"     559";"      66";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    44.9";"    43.8";"     1.1";"       .";"       .";"       .";"       .";"       .";"       ."
"5";"1999KW02";"   46368";"   47638";"   -1270";"       .";"   39105";"   22663";"   44471";"   45208";"    -737";"    -413";"    -740";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    42.9";"    43.6";"    -0.7";"       .";"       .";"       .";"       .";"       .";"       ."
"6";"1999KW03";"   43840";"   43161";"     679";"       .";"   36872";"   20426";"   46433";"   45832";"     601";"    1608";"    1276";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    44.0";"    43.4";"     0.6";"       .";"       .";"       .";"       .";"       .";"       ."
"7";"1999KW04";"   49098";"   47424";"    1674";"  245746";"   41769";"   22901";"   46517";"   46315";"     202";"    3142";"    2840";"       .";"    43.7";"    43.4";"     0.3";"    58.6";"    36.8";"    20.6";"    43.1";"    42.9";"     0.2";"     1.2";"     0.8";"       .";"       .";"       .";"       ."
"8";"1999JJ00";"  183192";"  182129";"    1063";"  245746";"  154224";"   86383";"";"";"";"    4896";"    3442";"       .";"    43.7";"    43.4";"     0.3";"    58.6";"    36.8";"    20.6";"";"";"";"     1.2";"     0.8";"       .";"    1043";"     948";"    1503"
"9";"2000KW01";"   45006";"   45776";"    -770";"  254520";"   37718";"   21946";"   47005";"   46699";"     306";"      40";"    -546";"       .";"    43.1";"    43.0";"     0.1";"    59.5";"    36.4";"    20.6";"    42.8";"    42.5";"     0.3";"     1.0";"     0.7";"       .";"       .";"       .";"       ."
"10";"2000KW02";"   51343";"   49825";"    1518";"  246207";"   43164";"   24367";"   49179";"   47282";"    1897";"    2397";"    2081";"       .";"    43.4";"    42.7";"     0.7";"    56.4";"    36.6";"    20.6";"    43.9";"    42.2";"     1.7";"     1.6";"     1.3";"       .";"       .";"       .";"       ."
"11";"2000KW03";"   46218";"   44944";"    1274";"  246324";"   38460";"   21970";"   49015";"   47697";"    1318";"    2153";"    1835";"       .";"    43.2";"    42.3";"     0.8";"    55.5";"    36.3";"    20.5";"    43.0";"    41.8";"     1.2";"     1.7";"     1.4";"       .";"       .";"       .";"       ."
"12";"2000KW04";"   53344";"   50098";"    3246";"  235427";"   45426";"   24627";"   50620";"   48896";"    1724";"    5125";"    4868";"       .";"    43.3";"    42.2";"     1.2";"    52.1";"    36.5";"    20.6";"    43.5";"    42.0";"     1.5";"     2.1";"     1.8";"       .";"       .";"       .";"       ."
"13";"2000JJ00";"  195911";"  190643";"    5268";"  235427";"  164768";"   92910";"";"";"";"    9715";"    8238";"       .";"    43.3";"    42.2";"     1.2";"    52.1";"    36.5";"    20.6";"";"";"";"     2.1";"     1.8";"       .";"    1063";"     960";"    1512"
"14";"2001KW01";"   48303";"   49333";"   -1030";"  237068";"   40421";"   23913";"   50281";"   50399";"    -118";"     453";"    -396";"       .";"    43.2";"    42.1";"     1.1";"    51.4";"    36.3";"    20.6";"    42.2";"    42.3";"    -0.1";"     2.2";"     1.8";"       .";"       .";"       .";"       ."
"15";"2001KW02";"   53216";"   53876";"    -660";"  246401";"   43190";"   26491";"   51009";"   51162";"    -153";"     968";"     220";"       .";"    42.8";"    42.2";"     0.6";"    52.5";"    35.7";"    20.7";"    42.5";"    42.6";"    -0.1";"     1.9";"     1.4";"       .";"       .";"       .";"       ."
"16";"2001KW03";"   48852";"   49296";"    -444";"  243193";"   40431";"   23971";"   51879";"   52218";"    -339";"    1222";"     561";"       .";"    42.8";"    42.6";"     0.2";"    51.1";"    35.6";"    20.8";"    42.9";"    43.2";"    -0.3";"     1.6";"     1.1";"       .";"       .";"       .";"       ."
"17";"2001KW04";"   53980";"   54138";"    -158";"  238329";"   45505";"   26785";"   51293";"   52772";"   -1479";"    2133";"    1758";"       .";"    42.4";"    42.9";"    -0.5";"    49.5";"    35.2";"    21.0";"    42.0";"    43.2";"    -1.2";"     1.0";"     0.4";"       .";"       .";"       .";"       ."
"18";"2001JJ00";"  204351";"  206643";"   -2292";"  238329";"  169547";"  101160";"";"";"";"    4776";"    2143";"    6350";"    42.4";"    42.9";"    -0.5";"    49.5";"    35.2";"    21.0";"";"";"";"     1.0";"     0.4";"     1.3";"    1088";"     982";"    1548"
"19";"2002KW01";"   50265";"   52175";"   -1910";"  242916";"   42415";"   26233";"   52074";"   53451";"   -1377";"    -344";"    -850";"       .";"    42.4";"    43.1";"    -0.7";"    50.0";"    35.3";"    21.3";"    42.1";"    43.3";"    -1.1";"     0.8";"     0.3";"       .";"       .";"       .";"       ."
"20";"2002KW02";"   53968";"   57450";"   -3482";"  246174";"   44869";"   28965";"   51846";"   54588";"   -2742";"   -1755";"   -2022";"       .";"    42.1";"    43.4";"    -1.2";"    50.1";"    35.3";"    21.6";"    41.5";"    43.7";"    -2.2";"     0.3";"    -0.1";"       .";"       .";"       .";"       ."
"21";"2002KW03";"   48618";"   51789";"   -3171";"  245367";"   40628";"   26284";"   51773";"   54765";"   -2992";"   -1446";"   -1771";"       .";"    41.6";"    43.4";"    -1.8";"    49.4";"    34.9";"    21.8";"    41.0";"    43.4";"    -2.4";"    -0.3";"    -0.6";"       .";"       .";"       .";"       ."
"22";"2002KW04";"   54879";"   56986";"   -2107";"  244564";"   46273";"   29385";"   52034";"   55450";"   -3416";"     520";"     227";"       .";"    41.5";"    43.6";"    -2.1";"    48.8";"    34.8";"    22.1";"    41.1";"    43.8";"    -2.7";"    -0.6";"    -0.9";"       .";"       .";"       .";"       ."
"23";"2002JJ00";"  207730";"  218400";"  -10670";"  244564";"  174185";"  110867";"";"";"";"   -3025";"   -4416";"    5282";"    41.5";"    43.6";"    -2.1";"    48.8";"    34.8";"    22.1";"";"";"";"    -0.6";"    -0.9";"     1.1";"    1114";"    1003";"    1592"
"24";"2003KW01";"   51652";"   54731";"   -3079";"  252003";"   43509";"   27779";"   53293";"   56162";"   -2869";"   -1419";"   -1984";"       .";"    41.4";"    43.8";"    -2.3";"    49.9";"    34.7";"    22.3";"    41.8";"    44.1";"    -2.3";"    -0.8";"    -1.1";"       .";"       .";"       .";"       ."
"25";"2003KW02";"   55107";"   59796";"   -4689";"  250879";"   45577";"   30611";"   53252";"   56936";"   -3684";"   -2882";"   -3242";"       .";"    41.4";"    44.0";"    -2.6";"    49.4";"    34.7";"    22.5";"    41.7";"    44.6";"    -2.9";"    -1.0";"    -1.3";"       .";"       .";"       .";"       ."
"26";"2003KW03";"   48802";"   54876";"   -6074";"  256847";"   40605";"   27894";"   52006";"   57948";"   -5942";"   -3928";"   -4302";"       .";"    41.3";"    44.4";"    -3.1";"    50.4";"    34.5";"    22.7";"    40.5";"    45.1";"    -4.6";"    -1.5";"    -1.8";"       .";"       .";"       .";"       ."
